Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,2,,,,,Week,1,,,
Date,December/08/2025,,,,,Date,December/09/2025,,,,,Date,December/11/2025,,,,,Date,December/12/2025,,,,,Date,"Dec 14, 2025",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,16kg,1,10,,,Leg Press,170lbs,1,10,1700,,Decline Cable Press,60lbs,1,10,,,Romania Dead Lifts,50lbs,1,10,,,8:33/km,42:44:00,5:04km,19:24:00,8:36km
,16kg,2,8,,,,170lbs,2,10,1700,,,60lbs,2,10,,,,50lbs,2,10,,,,,,,
,16kg,3,8,,,,170lbs,3,10,1700,,,60lbs,3,10,,,,50lbs,3,10,,,,,,,
Incline Bench Press Machine,45kg,1,10,,,Hip Thrust,60kg,1,10,1322,,Straight Arm Pulldown,60lbs,1,10,,,Leg Press,100lbs,1,12,,,,,,,
,45kg,2,8,,,,60kg,2,10,1322,,,60lbs,2,10,,,,100lbs,2,12,,,,,,,
,45kg,3,9,,,,60kg,3,10,1322,,,60lbs,3,10,,,,100lbs,3,12,,,,,,,
Shoulder Press Machine,20kg,1,10,,,Leg Curls,45kg,1,10,990,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,44lbs,1,12,,,,,,,
,20kg,2,10,,,,45kg,2,10,990,,,30lbs,2,10,,,,44lbs,2,12,,,,,,,
,20kg,3,10,,,,45kg,3,10,990,,,30lbs,3,10,,,,44lbs,3,12,,,,,,,
Wide Grip Cable Rows,80lbs,1,10,,,Abductor Machine,60kg,1,10,1322,,Reverse Fly Machine,50lbs,1,10,,,Machine Ab Crunches,40lbs,1,20,,,,,,,
,80lbs,2,10,,,,60kg,2,10,1322,,,50lbs,2,10,,,,40lbs,2,20,,,,,,,
,80lbs,3,10,,,,60kg,3,10,1322,,,50lbs,3,10,,,,40lbs,3,20,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,70lbs,1,10,,,Vertical Leg Raises,body weight,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,70lbs,2,10,,,,,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,70lbs,3,10,,,,,3,10,,,,,,,
